code:U+1F600; desc:grinning face; tags:face | grin
code:U+1F601; desc:grinning face with smiling eyes; tags:eye | face | grin | smile
code:U+1F602; desc:face with tears of joy; tags:face | joy | laugh | tear
code:U+1F923; desc:rolling on the floor laughing; tags:face | floor | laugh | rolling
code:U+1F603; desc:smiling face with open mouth; tags:face | mouth | open | smile
code:U+1F604; desc:smiling face with open mouth & smiling eyes; tags:eye | face | mouth | open | smile
code:U+1F605; desc:smiling face with open mouth & cold sweat; tags:cold | face | open | smile | sweat
code:U+1F606; desc:smiling face with open mouth & closed eyes; tags:face | laugh | mouth | open | satisfied | smile
code:U+1F609; desc:winking face; tags:face | wink
code:U+1F60A; desc:smiling face with smiling eyes; tags:blush | eye | face | smile
code:U+1F60B; desc:face savouring delicious food; tags:delicious | face | savouring | smile | um | yum
code:U+1F60E; desc:smiling face with sunglasses; tags:bright | cool | eye | eyewear | face | glasses | smile | sun | sunglasses
code:U+1F60D; desc:smiling face with heart-eyes; tags:eye | face | love | smile
code:U+1F618; desc:face blowing a kiss; tags:face | kiss
code:U+1F617; desc:kissing face; tags:face | kiss
code:U+1F619; desc:kissing face with smiling eyes; tags:eye | face | kiss | smile
code:U+1F61A; desc:kissing face with closed eyes; tags:closed | eye | face | kiss
code:U+263A; desc:smiling face; tags:face | outlined | relaxed | smile
code:U+1F642; desc:slightly smiling face; tags:face | smile
code:U+1F917; desc:hugging face; tags:face | hug | hugging
code:U+1F929; desc:star-struck; tags:eyes | face | grinning | star
code:U+1F914; desc:thinking face; tags:face | thinking
code:U+1F928; desc:face with raised eyebrow; tags:distrust | skeptic
code:U+1F610; desc:neutral face; tags:deadpan | face | neutral
code:U+1F611; desc:expressionless face; tags:expressionless | face | inexpressive | unexpressive
code:U+1F636; desc:face without mouth; tags:face | mouth | quiet | silent
code:U+1F644; desc:face with rolling eyes; tags:eyes | face | rolling
code:U+1F60F; desc:smirking face; tags:face | smirk
code:U+1F623; desc:persevering face; tags:face | persevere
code:U+1F625; desc:disappointed but relieved face; tags:disappointed | face | relieved | whew
code:U+1F62E; desc:face with open mouth; tags:face | mouth | open | sympathy
code:U+1F910; desc:zipper-mouth face; tags:face | mouth | zipper
code:U+1F62F; desc:hushed face; tags:face | hushed | stunned | surprised
code:U+1F62A; desc:sleepy face; tags:face | sleep
code:U+1F62B; desc:tired face; tags:face | tired
code:U+1F634; desc:sleeping face; tags:face | sleep | zzz
code:U+1F60C; desc:relieved face; tags:face | relieved
code:U+1F61B; desc:face with stuck-out tongue; tags:face | tongue
code:U+1F61C; desc:face with stuck-out tongue & winking eye; tags:eye | face | joke | tongue | wink
code:U+1F61D; desc:face with stuck-out tongue & closed eyes; tags:eye | face | horrible | taste | tongue
